Isotope          Half Life                Production Rate          Start Activity           End Activity            
137Cs                  9.482860000000e+08       0.000000000000e+00       2.000000000000e+00       1.919476756999e-10
137Ba(meta 1)          1.531200000000e+02       0.000000000000e+00       0.000000000000e+00       1.811207043500e-10
90Sr                   9.088390000000e+08       0.000000000000e+00       5.000000000000e-01       1.763238102992e-11
90Y                    2.304000000000e+05       0.000000000000e+00       0.000000000000e+00       1.763685215268e-11
99Tc                   6.674290000000e+12       0.000000000000e+00       5.000000000000e-02       4.983640015651e-02
126Sn                  7.258090000000e+12       0.000000000000e+00       1.200000000000e-01       1.196388945342e-01
126Sb(meta 1)          1.146000000000e+03       0.000000000000e+00       0.000000000000e+00       1.196388945532e-01
126Sb                  1.072220000000e+06       0.000000000000e+00       0.000000000000e+00       1.674944771180e-02
126Sb(meta 2)          1.100000000000e+01       0.000000000000e+00       0.000000000000e+00       8.007610669526e-02
135Cs                  7.258090000000e+13       0.000000000000e+00       2.100000000000e-01       2.099367208069e-01
151Sm                  2.988440000000e+09       0.000000000000e+00       9.000000000000e-02       5.962091460665e-05
226Ra                  5.049110000000e+10       0.000000000000e+00       1.000000000000e+00       6.484138800585e-01
222Rn                  3.303240000000e+05       0.000000000000e+00       0.000000000000e+00       6.484181221540e-01
218Po                  1.842600000000e+02       0.000000000000e+00       0.000000000000e+00       6.484181245203e-01
214Pb                  1.614960000000e+03       0.000000000000e+00       0.000000000000e+00       6.482754932681e-01
214Bi                  1.188000000000e+03       0.000000000000e+00       0.000000000000e+00       6.484180178600e-01
210Tl                  7.800000000000e+01       0.000000000000e+00       0.000000000000e+00       1.361677839610e-04
210Pb                  7.015100000000e+08       0.000000000000e+00       0.000000000000e+00       6.575540426069e-01
206Hg                  4.992000000000e+02       0.000000000000e+00       0.000000000000e+00       1.249352693305e-08
206Tl                  2.521200000000e+02       0.000000000000e+00       0.000000000000e+00       9.330770850419e-07
210Bi                  4.329500000000e+05       0.000000000000e+00       0.000000000000e+00       6.575596810355e-01
210Po                  1.195570000000e+07       0.000000000000e+00       0.000000000000e+00       6.577147626137e-01
214Po                  1.623000000000e-04       0.000000000000e+00       0.000000000000e+00       6.482819927283e-01
218At                  1.400000000000e+00       0.000000000000e+00       0.000000000000e+00       1.426519873984e-04
218Rn                  3.600000000000e-02       0.000000000000e+00       0.000000000000e+00       1.426519873985e-07
