Isotope          Half Life                Production Rate          Start Activity           End Activity            
226Ra                  5.049110000000e+10       0.000000000000e+00       1.000000000000e+00       6.484138800585e-01
222Rn                  3.303240000000e+05       0.000000000000e+00       0.000000000000e+00       6.484181221540e-01
218Po                  1.842600000000e+02       0.000000000000e+00       0.000000000000e+00       6.484181245203e-01
214Pb                  1.614960000000e+03       0.000000000000e+00       0.000000000000e+00       6.482754932681e-01
214Bi                  1.188000000000e+03       0.000000000000e+00       0.000000000000e+00       6.484180178600e-01
210Tl                  7.800000000000e+01       0.000000000000e+00       0.000000000000e+00       1.361677839610e-04
210Pb                  7.015100000000e+08       0.000000000000e+00       0.000000000000e+00       6.575540426069e-01
206Hg                  4.992000000000e+02       0.000000000000e+00       0.000000000000e+00       1.249352693305e-08
206Tl                  2.521200000000e+02       0.000000000000e+00       0.000000000000e+00       9.330770850419e-07
210Bi                  4.329500000000e+05       0.000000000000e+00       0.000000000000e+00       6.575596810355e-01
210Po                  1.195570000000e+07       0.000000000000e+00       0.000000000000e+00       6.577147626137e-01
214Po                  1.623000000000e-04       0.000000000000e+00       0.000000000000e+00       6.482819927283e-01
218At                  1.400000000000e+00       0.000000000000e+00       0.000000000000e+00       1.426519873984e-04
218Rn                  3.600000000000e-02       0.000000000000e+00       0.000000000000e+00       1.426519873985e-07
